alpha,cl,cd,cm,cp_min,converged,diverged,rms_bl,note
-8.0,-0.7503186464309692,0.007767186034470797,-0.03580855578184128,-6.492578983306885,True,False,2.7910369681194425e-05,
-7.75,-0.72179114818573,0.007592636160552502,-0.035817280411720276,-6.103621006011963,True,False,6.652914453297853e-05,
-7.5,-0.6930437684059143,0.007438323926180601,-0.035863470286130905,-5.723717212677002,True,False,3.0431403956754366e-06,
-7.25,-0.6642338037490845,0.007295064628124237,-0.035923607647418976,-5.355113506317139,True,False,3.7799167330376804e-05,
-7.0,-0.6355143189430237,0.007120831869542599,-0.03598050773143768,-5.001980781555176,True,False,3.7179834180278704e-05,
-6.75,-0.6066897511482239,0.00696032727137208,-0.03606549650430679,-4.656306743621826,True,False,1.1258963240834419e-05,
-6.5,-0.5776933431625366,0.006833233404904604,-0.03617820888757706,-4.319752216339111,True,False,3.142980915527005e-07,
-6.25,-0.5486212968826294,0.0066990540362894535,-0.03630486875772476,-3.994959831237793,True,False,3.720404038176639e-07,
-6.0,-0.5196744203567505,0.006558253429830074,-0.03643042966723442,-3.681739330291748,True,False,2.8002188628306612e-05,
-5.75,-0.49043843150138855,0.0064384788274765015,-0.036596693098545074,-3.3766396045684814,True,False,1.8825872757588513e-05,
-5.5,-0.461334228515625,0.006316211074590683,-0.03675245866179466,-3.0888125896453857,True,False,6.419146666303277e-05,
-5.25,-0.4320808947086334,0.006196684204041958,-0.03693836182355881,-2.8327994346618652,True,False,2.4627406673971564e-05,
-5.0,-0.40287306904792786,0.006069332826882601,-0.03712591901421547,-2.5864953994750977,True,False,1.0805061947394279e-06,
-4.75,-0.37355488538742065,0.005978820379823446,-0.03732920438051224,-2.3475663661956787,True,False,2.6038244982373726e-07,
-4.5,-0.34421464800834656,0.005855838302522898,-0.03754550963640213,-2.135370969772339,True,False,3.673652827274054e-05,
-4.25,-0.31482994556427,0.005777184851467609,-0.03776629641652107,-1.9347813129425049,True,False,8.972026262199506e-05,
-4.0,-0.28544771671295166,0.005661956034600735,-0.03800291568040848,-1.7415087223052979,True,False,1.2659465937758796e-05,
-3.75,-0.25598201155662537,0.005572180263698101,-0.038246989250183105,-1.564697265625,True,False,4.287161573302001e-05,
-3.5,,,,,False,False,0.0013325520558282733,did not converge within the iteration budget (final RMS residual 0.00133)
