mach,cp_min_corrected,cp_crit
0.3,-1.5564746118972617,-6.9473153258860725
0.305,-1.5610923966473396,-6.703425951820822
0.31,-1.5658226478073076,-6.471215742818849
0.315,-1.5706676002776043,-6.249948630342844
0.32,-1.5756295705784173,-6.038945597135448
0.325,-1.580710960137788,-5.837579451873806
0.33,-1.5859142587519552,-5.645270153772825
0.335,-1.5912420482282523,-5.461480621969484
0.34,-1.596697006221627,-5.28571297308115
0.34500000000000003,-1.602281910276609,-5.117505137659597
0.35000000000000003,-1.6079996420874152,-4.956427812552583
0.35500000000000004,-1.6138531919897896,-4.80208171159459
0.36000000000000004,-1.6198456636991594,-4.654095081712736
0.36500000000000005,-1.6259802793107743,-4.512121455563311
0.37000000000000005,-1.6322603845786394,-4.375837615303349
0.37500000000000006,-1.6386894544913146,-4.244941745128355
0.38000000000000006,-1.6452710991640271,-4.11915175283871
0.38500000000000006,-1.6520090700680032,-3.9982037429888275
0.39000000000000007,-1.6589072666195566,-3.8818506261731796
0.3950000000000001,-1.6659697431531961,-3.76986085075157
0.4000000000000001,-1.6732007163049405,-3.662017244847305
0.4050000000000001,-1.6806045728340817,-3.5581159577951436
0.4100000000000001,-1.6881858779139036,-3.457965491396577
0.4150000000000001,-1.6959493839243291,-3.3613858123791225
0.4200000000000001,-1.7039000397821529,-3.2682075383724967
0.4250000000000001,-1.712043000847453,-3.1782711905236285
0.4300000000000001,-1.720383639448,-3.091426506588089
0.4350000000000001,-1.728927556066988,-3.007531808969168
0.4400000000000001,-1.7376805912432691,-2.92645342273808
0.4450000000000001,-1.7466488382375118,-2.8480651391682406
0.4500000000000001,-1.7558386565223296,-2.772247720760505
0.4550000000000001,-1.7652566861595362,-2.6988884441322187
0.46000000000000013,-1.7749098631332925,-2.6278806774956047
0.46500000000000014,-1.7848054357140894,-2.5591234897662463
0.47000000000000014,-1.7949509819353178,-2.492521288624228
0.47500000000000014,-1.8053544282716911,-2.4279834851027853
0.48000000000000015,-1.8160240696170995,-2.3654241825054765
0.48500000000000015,-1.8269685906686357,-2.3047618876558507
0.49000000000000016,-1.8381970888337174,-2.245919242665958
0.49500000000000016,-1.849719098788487,-2.1888227755740712
0.5000000000000002,-1.8615446188281886,-2.1334026683497123
0.5050000000000001,-1.8736841391640995,-2.079592540897232
0.5100000000000002,-1.8861486723370906,-2.0273292498093483
0.5150000000000001,-1.8989497859350708,-1.9765527007306924
0.5200000000000002,-1.9120996378208357,-1.9272056732894425
0.5250000000000001,-1.9256110140982678,-1.8792336576441548
0.5300000000000002,-1.9394973700688756,-1.8325847017732766
0.5350000000000001,-1.953772874457531,-1.7872092687080252
0.5400000000000003,-1.9684524572164694,-1.7430601029754356
0.5450000000000002,-1.9835518612504834,-1.7000921055788223
0.5500000000000003,-1.9990876984444248,-1.6582622168975072
0.5550000000000002,-2.0150775104170813,-1.6175293069377576
0.5600000000000003,-2.0315398344740685,-1.5778540724121088
0.5650000000000002,-2.048494275287208,-1.539198940165875
0.5700000000000003,-2.065961582890059,-1.5015279765073646
0.5750000000000002,-2.083963737649752,-1.464806802032954
0.5800000000000003,-2.102524042955479,-1.4290025115696385
0.5850000000000002,-2.1216672264552376,-1.3940835988867435
0.5900000000000003,-2.1414195507766483,-1.360019885854759
0.5950000000000002,-2.161808934786691,-1.3267824557536738
0.6000000000000003,-2.1828650865816814,-1.2943435904552818
0.6050000000000002,-2.2046196495553865,-1.2626767112244373
0.6100000000000003,-2.22710636307338,-1.2317563229028894
0.6150000000000002,-2.250361239489481,-1.2015579612566574
0.6200000000000003,-2.2744227594802333,-1.1720581432835788
0.6250000000000002,-2.2993320879515133,-1.1432343202924664
0.6300000000000003,-2.325133313094397,-1.1150648335784796
0.6350000000000002,-2.3518737115434405,-1.087528872531921
0.6400000000000003,-2.3796040430295915,-1.060606435028887
0.6450000000000002,-2.4083788784337,-1.0342782899628784
0.6500000000000004,-2.438256965749845,-1.0085259417860777
0.6550000000000002,-2.469301639177638,-0.9833315969380891
0.6600000000000004,-2.5015812774011996,-0.9586781320481333
0.6650000000000003,-2.5351698181055164,-0.9345490638044665
0.6700000000000004,-2.570147336961246,-0.910928520391843
0.6750000000000003,-2.606600700716263,-0.8878012144044614
0.6800000000000004,-2.644624305716458,-0.8651524171478914
0.6850000000000003,-2.684320915200854,-0.8429679342492219
0.6900000000000004,-2.7258026111549136,-0.8212340824998112
0.6950000000000003,-2.7691918794576664,-0.7999376678600068
0.7000000000000004,-2.8146228506465865,-0.7790659645596293
0.7050000000000003,-2.8622427230044645,-0.7586066952323128
0.7100000000000004,-2.9122134000447826,-0.738548012025624
0.7150000000000003,-2.9647133810917228,-0.7188784786326041
0.7200000000000004,-3.0199399518488894,-0.6995870531936796
0.7250000000000003,-3.0781117320562035,-0.680663072021125
0.7300000000000004,-3.139471650109233,-0.6620962341011334
0.7350000000000003,-3.2042904305985607,-0.6438765863313414
0.7400000000000004,-3.2728707010996927,-0.6259945094541784
0.7450000000000003,-3.3455518505160287,-0.6084407046488072
0.7500000000000004,-3.422715804613035,-0.5912061807466522
0.7550000000000003,-3.5047939274758946,-0.574282242037586
0.7600000000000005,-3.5922753137573356,-0.5576604766357919
0.7650000000000003,-3.6857168102936884,-0.5413327453761247
0.7700000000000005,-3.785755203292863,-0.5252911712135181
0.7750000000000004,-3.893122137780481,-0.5095281290995474
0.7800000000000005,-4.008662512096515,-0.494036236311752
0.7850000000000004,-4.133357330405723,-0.4788083432127431
0.7900000000000005,-4.268352327410774,-0.46383752441737386
0.7950000000000004,-4.414994141780976,-0.4491170703475346
0.8000000000000005,-4.574876468543555,-0.43464047915522863
0.8050000000000004,-4.749899558128599,-0.4204014489957073
0.8100000000000005,-4.942347794658834,-0.40639387063341126
0.8150000000000004,-5.154992106563038,-0.39261182036444847
0.8200000000000005,-5.391227008286228,-0.37904955324021045
0.8250000000000004,-5.655256755311998,-0.36570149657757006
0.8300000000000005,-5.952352456617887,-0.35256224374188827
0.8350000000000004,-6.2892138465925,-0.3396265481898142
0.8400000000000005,-6.674489045344196,-0.32688931775951346
0.8450000000000004,-7.119539131935491,-0.3143456091966995
0.8500000000000005,-7.639593535987689,-0.30199062290533685
0.8550000000000004,-8.255551042421065,-0.28981969791259915
0.8600000000000005,-8.99689055230136,-0.2778283070381045
0.8650000000000004,-9.906580750733399,-0.26601205225802227
0.8700000000000006,-11.049797253822849,-0.25436666025512467
0.8750000000000004,-12.530403564246015,-0.24288797814629495
0.8800000000000006,-14.52466949555765,-0.231571969379457
0.8850000000000005,-17.357701574946788,-0.22041470979228361
0.8900000000000006,-21.7026008075438,-0.20941238382544233
0.8950000000000005,-29.216277237018613,-0.19856128088348704
0.9000000000000006,-45.3720525797673,-0.1878577918368394
0.9050000000000005,-105.366156852656,-0.17729840565866956
0.9100000000000006,-296.947877887757,-0.16687970619073386
0.9150000000000005,-126.78898951031337,-0.15659836903256044
0.9200000000000006,-95.02488712646996,-0.1464511585486391
0.9250000000000005,-69.06447255135477,-0.13643492498851678
0.9300000000000006,-184.16813746787258,-0.12654660171496002
0.9350000000000005,-1537.4226125021137,-0.11678320253557
0.9400000000000006,-410.7432584929805,-0.10714181913346774
0.9450000000000005,-124.03537384574214,-0.09761961859286207
0.9500000000000006,-27580.54942689289,-0.08821384101550449
