alpha,cl,cd,cm,cp_min,converged,diverged,rms_bl,note
-6.0,-0.43348222970962524,0.048067040741443634,-0.041912954300642014,-3.765467405319214,True,False,2.6763868845591787e-06,
-5.75,-0.4448210597038269,0.04395655542612076,-0.04272511601448059,-3.813763380050659,True,False,6.333854798867833e-06,
-5.5,-0.4532299339771271,0.04005562141537666,-0.04254928603768349,-3.851381301879883,True,False,5.264241735858377e-06,
-5.25,-0.4553285241127014,0.03610639274120331,-0.042146313935518265,-3.8799355030059814,True,False,6.25731554464437e-05,
-5.0,-0.455033540725708,0.03216904029250145,-0.04093502089381218,-3.917280435562134,True,False,3.4529261938587297e-06,
-4.75,-0.45242616534233093,0.028222035616636276,-0.0389944352209568,-3.9683849811553955,True,False,5.3947092055750545e-06,
-4.5,-0.4478483498096466,0.02423875592648983,-0.0363798588514328,-4.036837100982666,True,False,3.1301506169256754e-06,
-4.25,-0.4422423541545868,0.02015969343483448,-0.033130254596471786,-4.129465103149414,True,False,1.6663228961988352e-05,
-4.0,-0.43098607659339905,0.016400642693042755,-0.029489872977137566,-4.1243767738342285,True,False,2.985003902722383e-06,
-3.75,-0.41782957315444946,0.01262308843433857,-0.025508694350719452,-4.190100193023682,True,False,2.4175335056497715e-05,
-3.5,-0.39461663365364075,0.009495770558714867,-0.021666623651981354,-4.254421234130859,True,False,1.7688678781269118e-05,
-3.25,-0.3598310649394989,0.007805581204593182,-0.01767057180404663,-4.09637451171875,True,False,1.4997778635006398e-05,
-3.0,-0.31622469425201416,0.00715088564902544,-0.014347044751048088,-3.748011350631714,True,False,7.750465442768473e-07,
-2.75,-0.26918113231658936,0.006892428733408451,-0.012020619586110115,-3.3384578227996826,True,False,9.97324168565683e-05,
-2.5,-0.22233891487121582,0.006748831365257502,-0.010181509889662266,-2.9731266498565674,True,False,6.8905956140952185e-06,
-2.25,-0.17558984458446503,0.006624127272516489,-0.008684275671839714,-2.6370689868927,True,False,7.83335417509079e-06,
-2.0,-0.12929554283618927,0.006531145423650742,-0.007407179567962885,-2.3330633640289307,True,False,5.696071093552746e-05,
-1.75,,,,,False,False,0.002365006832405925,did not converge within the iteration budget (final RMS residual 0.00237)
-1.5,-0.03813004493713379,0.0063744476065039635,-0.005320126656442881,-1.8259022235870361,True,False,4.854588837588381e-07,
-1.25,0.006996516138315201,0.006321985740214586,-0.004479005001485348,-1.6054960489273071,True,False,9.799500548979267e-05,
-1.0,0.05177800729870796,0.006267492659389973,-0.003719617612659931,-1.4048311710357666,True,False,2.4874321979950764e-07,
-0.75,0.09679709374904633,0.006217402406036854,-0.0031013530679047108,-1.2274667024612427,True,False,8.715155854588374e-05,
-0.5,0.14125259220600128,0.006197578739374876,-0.002512665931135416,-1.0640473365783691,True,False,1.7233583093911875e-06,
-0.25,0.18580129742622375,0.006156720221042633,-0.001994262682273984,-1.0554077625274658,True,False,9.750273602548987e-05,
0.0,0.23046591877937317,0.0061272745952010155,-0.0015486354241147637,-1.1054235696792603,True,False,2.7920901629840955e-05,
0.25,0.2747063636779785,0.006136157084256411,-0.0010981815867125988,-1.155857801437378,True,False,2.246080111945048e-05,
0.5,0.31946367025375366,0.006113382987678051,-0.0007246424211189151,-1.208815336227417,True,False,2.7593017875915393e-05,
0.75,0.36403506994247437,0.0061065927147865295,-0.0003383574658073485,-1.2643189430236816,True,False,4.838484528590925e-05,
1.0,0.40837711095809937,0.00612490251660347,7.907908002380282e-05,-1.3204362392425537,True,False,7.082940282998607e-05,
1.25,0.45334944128990173,0.006113200914114714,0.000446431920863688,-1.3795826435089111,True,False,3.868400710871356e-07,
1.5,0.4977336823940277,0.0061181108467280865,0.0009192313882522285,-1.4410150051116943,True,False,7.276330143213272e-05,
1.75,0.5426204204559326,0.00612666504457593,0.0013754498213529587,-1.5039994716644287,True,False,3.1570661462865246e-07,
2.0,0.5871461033821106,0.006094008218497038,0.0019461855990812182,-1.5699191093444824,True,False,1.5839945888274087e-07,
2.25,0.6289423108100891,0.005945087410509586,0.0029438319616019726,-1.6354740858078003,True,False,3.211064267816255e-07,
2.5,0.662714421749115,0.005303815472871065,0.005181447137147188,-1.6944905519485474,True,False,2.6300906029064208e-05,
2.75,0.7043878436088562,0.0051678079180419445,0.0064601288177073,-1.7657963037490845,True,False,8.32568621262908e-05,
3.0,0.7484531998634338,0.0051355259492993355,0.007527453824877739,-1.8415888547897339,True,False,9.291142305301037e-06,
3.25,0.794029712677002,0.005162931978702545,0.008503890596330166,-1.9223238229751587,True,False,8.32766636449378e-06,
3.5,0.8398826718330383,0.005241861566901207,0.009577729739248753,-2.0076515674591064,True,False,3.9011212038531085e-07,
3.75,0.887010931968689,0.005316908936947584,0.010654153302311897,-2.0976688861846924,True,False,8.066576384635482e-08,
