mach,cp_min_corrected,cp_crit
0.3,-1.3989552166198251,-6.9473153258860725
0.305,-1.4029213208359566,-6.703425951820822
0.31,-1.4069829393276296,-6.471215742818849
0.315,-1.41114191276571,-6.249948630342844
0.32,-1.4154001479018536,-6.038945597135448
0.325,-1.4197596201676554,-5.837579451873806
0.33,-1.4242223764073283,-5.645270153772825
0.335,-1.428790537751756,-5.461480621969484
0.34,-1.4334663026422925,-5.28571297308115
0.34500000000000003,-1.4382519500132724,-5.117505137659597
0.35000000000000003,-1.4431498426428155,-4.956427812552583
0.35500000000000004,-1.4481624306821952,-4.80208171159459
0.36000000000000004,-1.4532922553747591,-4.654095081712736
0.36500000000000005,-1.458541952976197,-4.512121455563311
0.37000000000000005,-1.4639142588887872,-4.375837615303349
0.37500000000000006,-1.4694120120231968,-4.244941745128355
0.38000000000000006,-1.4750381594023925,-4.11915175283871
0.38500000000000006,-1.480795761023322,-3.9982037429888275
0.39000000000000007,-1.486687994993194,-3.8818506261731796
0.3950000000000001,-1.492718162958457,-3.76986085075157
0.4000000000000001,-1.4988896958459819,-3.662017244847305
0.4050000000000001,-1.5052061599374411,-3.5581159577951436
0.4100000000000001,-1.511671263299535,-3.457965491396577
0.4150000000000001,-1.5182888625944895,-3.3613858123791225
0.4200000000000001,-1.525062970297208,-3.2682075383724967
0.4250000000000001,-1.5319977623475702,-3.1782711905236285
0.4300000000000001,-1.5390975862687013,-3.091426506588089
0.4350000000000001,-1.5463669697845555,-3.007531808969168
0.4400000000000001,-1.5538106299729324,-2.92645342273808
0.4450000000000001,-1.5614334829930705,-2.8480651391682406
0.4500000000000001,-1.569240654430286,-2.772247720760505
0.4550000000000001,-1.5772374903037547,-2.6988884441322187
0.46000000000000013,-1.5854295687875393,-2.6278806774956047
0.46500000000000014,-1.5938227126993403,-2.5591234897662463
0.47000000000000014,-1.602423002816287,-2.492521288624228
0.47500000000000014,-1.6112367920823818,-2.4279834851027853
0.48000000000000015,-1.6202707207780762,-2.3654241825054765
0.48500000000000015,-1.6295317327289078,-2.3047618876558507
0.49000000000000016,-1.6390270926372603,-2.245919242665958
0.49500000000000016,-1.648764404629193,-2.1888227755740712
0.5000000000000002,-1.6587516321170124,-2.1334026683497123
0.5050000000000001,-1.6689971190879318,-2.079592540897232
0.5100000000000002,-1.6795096129398943,-2.0273292498093483
0.5150000000000001,-1.6902982889975469,-1.9765527007306924
0.5200000000000002,-1.7013727768546336,-1.9272056732894425
0.5250000000000001,-1.7127431887038054,-1.8792336576441548
0.5300000000000002,-1.7244201498313512,-1.8325847017732766
0.5350000000000001,-1.736414831472703,-1.7872092687080252
0.5400000000000003,-1.748738986245162,-1.7430601029754356
0.5450000000000002,-1.7614049863972827,-1.7000921055788223
0.5500000000000003,-1.7744258651402058,-1.6582622168975072
0.5550000000000002,-1.78781536135519,-1.6175293069377576
0.5600000000000003,-1.801587968004243,-1.5778540724121088
0.5650000000000002,-1.8157589846074673,-1.539198940165875
0.5700000000000003,-1.8303445741922237,-1.5015279765073646
0.5750000000000002,-1.8453618251660446,-1.464806802032954
0.5800000000000003,-1.860828818618331,-1.4290025115696385
0.5850000000000002,-1.8767647016159925,-1.3940835988867435
0.5900000000000003,-1.8931897671266096,-1.360019885854759
0.5950000000000002,-1.9101255412804843,-1.3267824557536738
0.6000000000000003,-1.9275948787717467,-1.2943435904552818
0.6050000000000002,-1.9456220673000864,-1.2626767112244373
0.6100000000000003,-1.9642329420708482,-1.2317563229028894
0.6150000000000002,-1.9834550115044778,-1.2015579612566574
0.6200000000000003,-2.0033175954595714,-1.1720581432835788
0.6250000000000002,-2.0238519774503634,-1.1432343202924664
0.6300000000000003,-2.045091572543519,-1.1150648335784796
0.6350000000000002,-2.0670721128552403,-1.087528872531921
0.6400000000000003,-2.0898318528439104,-1.060606435028887
0.6450000000000002,-2.1134117969123736,-1.0342782899628784
0.6500000000000004,-2.1378559522062095,-1.0085259417860777
