x,y,cp
0.9999890923500061,0.0012599499896168709,0.23471346497535706
0.9916797876358032,0.002355314791202545,0.2135220468044281
0.9803178310394287,0.003860758850350976,0.18352700769901276
0.9670721888542175,0.005626719444990158,0.154654398560524
0.9522977471351624,0.007610040251165628,0.1272244155406952
0.9365035891532898,0.009745469316840172,0.10183941572904587
0.9201267957687378,0.011975549161434174,0.07840831577777863
0.9034469127655029,0.014262580312788486,0.05661366879940033
0.8866153955459595,0.01658535748720169,0.0360804945230484
0.8697069883346558,0.018932631239295006,0.01647205464541912
0.8527570366859436,0.021298246458172798,-0.002479467773810029
0.8357813954353333,0.023678520694375038,-0.020996706560254097
0.8187869787216187,0.02607085555791855,-0.039258502423763275
0.8017768859863281,0.028472989797592163,-0.057400524616241455
0.7847530841827393,0.030882682651281357,-0.07553786784410477
0.7677183151245117,0.03329738974571228,-0.09376230835914612
0.7506794333457947,0.03571382164955139,-0.11214610189199448
0.7336472868919373,0.03812800347805023,-0.1307540237903595
0.7166305184364319,0.040536068379879,-0.1496332287788391
0.6996325254440308,0.04293476790189743,-0.16883844137191772
0.6826556324958801,0.04532088339328766,-0.18842235207557678
0.6657013893127441,0.047691114246845245,-0.2084265947341919
0.6487708687782288,0.05004211887717247,-0.22889912128448486
0.6318651437759399,0.052370406687259674,-0.24988603591918945
0.6149851083755493,0.05467235669493675,-0.271431565284729
0.5981317758560181,0.056944217532873154,-0.2935853898525238
0.5813060998916626,0.0591820664703846,-0.316398948431015
0.5645090937614441,0.06138185039162636,-0.33992800116539
0.5477418899536133,0.06353934109210968,-0.3642383813858032
0.5310059785842896,0.06565012037754059,-0.38940590620040894
0.5143027305603027,0.06770964711904526,-0.4155171513557434
0.49763453006744385,0.06971312314271927,-0.4427037239074707
0.4810061752796173,0.07165529578924179,-0.47112900018692017
0.4644208252429962,0.07353082299232483,-0.5009226202964783
0.4478887617588043,0.07533424347639084,-0.5327539443969727
0.43144017457962036,0.0770554319024086,-0.5673331618309021
0.41510072350502014,0.07867810130119324,-0.6038241982460022
0.3988793194293976,0.08018651604652405,-0.6417144536972046
0.38277825713157654,0.08156564086675644,-0.6805018186569214
0.36679792404174805,0.08280159533023834,-0.719910204410553
0.35093873739242554,0.08388109505176544,-0.7596685886383057
0.3352011442184448,0.08479133993387222,-0.799492597579956
0.319585919380188,0.08551997691392899,-0.8390790224075317
0.3040946125984192,0.08605510741472244,-0.8781051635742188
0.2887296974658966,0.08638522028923035,-0.9161510467529297
0.27349475026130676,0.0864991545677185,-0.9525468349456787
0.258394330739975,0.08638616651296616,-0.9861974120140076
0.24343445897102356,0.08603587001562119,-1.0163755416870117
0.22862273454666138,0.0854383334517479,-1.0453004837036133
0.21396873891353607,0.08458410948514938,-1.1060545444488525
0.19948451220989227,0.08346428722143173,-1.1275060176849365
0.18518517911434174,0.08207076787948608,-1.1515647172927856
0.1710900366306305,0.08039656281471252,-1.1740927696228027
0.1572241336107254,0.07843621075153351,-1.1936510801315308
0.14362022280693054,0.07618678361177444,-1.2096657752990723
0.1303216516971588,0.07364926487207413,-1.2217330932617188
0.11738619208335876,0.0708305835723877,-1.2294716835021973
0.10488966852426529,0.06774681806564331,-1.2325780391693115
0.09292839467525482,0.06442698836326599,-1.2309136390686035
0.08161760866641998,0.060916464775800705,-1.2243987321853638
0.07108105719089508,0.05727788433432579,-1.2130504846572876
0.061431046575307846,0.05358723923563957,-1.1971224546432495
0.05274447053670883,0.04992402344942093,-1.1772381067276
0.04504453390836716,0.046357493847608566,-1.1535394191741943
0.03829803317785263,0.042937278747558594,-1.1262540817260742
0.032429877668619156,0.03969104215502739,-1.096299648284912
0.027342692017555237,0.03662543371319771,-1.062037467956543
0.022932615131139755,0.0337345115840435,-1.025299072265625
0.01910547725856304,0.031003544107079506,-0.9825199842453003
0.01577732153236866,0.028416438028216362,-0.936487078666687
0.01287907175719738,0.025953197851777077,-0.8814284801483154
0.010350476950407028,0.02359527163207531,-0.8209145069122314
0.008148721419274807,0.02132570929825306,-0.7482330799102783
0.006240194663405418,0.01913248933851719,-0.6637578010559082
0.004599361214786768,0.01700543984770775,-0.5663400888442993
0.0032059443183243275,0.014930283650755882,-0.44772452116012573
0.0020406749099493027,0.012892119586467743,-0.31251460313796997
0.0011007930152118206,0.010887960903346539,-0.154245525598526
0.0003884253092110157,0.00892862118780613,0.025853050872683525
-0.000100242585176602,0.007030020467936993,0.21632973849773407
-0.00037535506999120116,0.005187262315303087,0.40906786918640137
-0.0004418382013682276,0.0033674822188913822,0.5982093214988708
-0.0002960057754535228,0.001538191456347704,0.7657708525657654
7.990225276444107e-05,-0.0003092228143941611,0.8975155353546143
0.0007083805394358933,-0.0021593086421489716,0.9812119603157043
0.0015993383713066578,-0.003986092284321785,1.0101462602615356
0.0027612722478806973,-0.005761341657489538,0.989231526851654
0.004195165354758501,-0.007471466902643442,0.9314623475074768
0.005895677022635937,-0.00910730380564928,0.8523528575897217
0.007863739505410194,-0.010665484704077244,0.7653265595436096
0.010106178000569344,-0.012151251547038555,0.6794983744621277
0.012635987251996994,-0.013570927083492279,0.5987177491188049
0.015481458976864815,-0.014931895770132542,0.5269224047660828
0.018678246065974236,-0.01624348573386669,0.4626295268535614
0.022280901670455933,-0.017511731013655663,0.40765389800071716
0.026358135044574738,-0.01874498836696148,0.3595414459705353
0.031002964824438095,-0.019947171211242676,0.3190252184867859
0.036332350224256516,-0.021123012527823448,0.2843392491340637
0.04249364137649536,-0.022272557020187378,0.2554394006729126
0.04966151341795921,-0.023392928764224052,0.23164696991443634
0.05802583321928978,-0.02447623200714588,0.21233081817626953
0.06775932013988495,-0.025508053600788116,0.19719034433364868
0.0789635181427002,-0.026470135897397995,0.1856372356414795
0.09161445498466492,-0.027345119044184685,0.17698553204536438
0.10554952919483185,-0.02812347747385502,0.17044754326343536
0.12051562964916229,-0.02880777418613434,0.16521432995796204
0.13624493777751923,-0.029411129653453827,0.16058467328548431
0.15250904858112335,-0.029952075332403183,0.15602456033229828
0.1691359579563141,-0.030449531972408295,0.1511734426021576
0.1860039234161377,-0.030919816344976425,0.1458067148923874
0.2030281275510788,-0.03137543797492981,0.13980071246623993
0.22014909982681274,-0.031825002282857895,0.13310299813747406
0.2373228818178177,-0.032273564487695694,0.12570790946483612
0.25451627373695374,-0.032723162323236465,0.1176445409655571
0.27171316742897034,-0.03317362070083618,0.10896043479442596
0.2888981103897095,-0.03362265229225159,0.09971815347671509
0.30605387687683105,-0.034066203981637955,0.09000298380851746
0.32316938042640686,-0.034499041736125946,0.0799097940325737
0.3402360677719116,-0.03491499274969101,0.06954154372215271
0.3572472035884857,-0.03530711308121681,0.05901216343045235
0.37419795989990234,-0.035667844116687775,0.048465192317962646
0.39108550548553467,-0.035989295691251755,0.03805111348628998
0.40790855884552,-0.03626327961683273,0.027923086658120155
0.42466872930526733,-0.03648098558187485,0.018407128751277924
0.4413749873638153,-0.03663412109017372,0.009859506040811539
0.45805272459983826,-0.03671623766422272,0.0028636823408305645
0.47472965717315674,-0.036727555096149445,-0.002987851854413748
0.4914121627807617,-0.03667042404413223,-0.008142689242959023
