Criteria / Options,Weight,NACA_25112,NASA_SC(2)-0712,lockheed_c5a_bl758,NACA_64212
Mach Critical,0.25,0.20833333333333426,0.25,0.12500000000000092,0.0
Cl/Cd cruise,0.3,0.24395118922689413,0.0,0.18257205653983807,0.3
Cl max landing,0.15,0.006245499690458414,0.15,0.01720972837393686,0.0
Stall Angle - Angle in Cruise,0.125,0.125,0.03917436144908115,0.05191734487663296,0.0
Zero Angle Cl,0.05,0.0,0.05,0.005602100398678419,0.003563025619183506
Pitching Moment,0.125,0.125,0.0,0.07711235317082091,0.08300221911728656
Total score,1.0,0.7085300222506867,0.48917436144908116,0.4594135833599081,0.38656524473647
