alpha,CL,CDi,CMy,CDo_vsp,CDtot_vsp,max_cl_ratio
-4.0,-0.077678938853,0.000231102054,-0.000503221473,0.005372325645,0.005557808135,-0.02753478024372494
-3.0,0.004892699118,1.033944e-06,-0.000473278154,0.005336161692,0.005322571906,0.0038411318528422294
-2.0,0.087492744609,0.000291957988,-0.000574130166,0.005384947668,0.005628537171,0.06508584528427111
-1.0,0.170084195078,0.001104449597,-0.000810258811,0.005518653411,0.006475710027,0.12632389008401101
0.0,0.25262977564,0.002438280624,-0.001186815147,0.005736997331,0.0078636214,0.18754192898868405
1.0,0.335389757556,0.004292573237,-0.002146352082,0.006039454224,0.009809573247,0.24871328747153437
2.0,0.417795851543,0.00666575127,-0.002906520239,0.006425240408,0.012282431364,0.30983129690087297
3.0,0.500553744677,0.009555567313,-0.004599311267,0.006893286357,0.015340721108,0.370875951381633
4.0,0.582673398873,0.012959931283,-0.005777484816,0.007442327478,0.018900736156,0.43182057638705856
5.0,0.664664751799,0.016876074445,-0.007267887637,0.008070809794,0.023000985324,0.49265183465377177
6.0,0.746422784695,0.021299713905,-0.008984032502,0.008776929105,0.027634763373,0.5533563889183948
7.0,0.827761140853,0.026223806083,-0.010708057122,0.009558633851,0.032768195544,0.6139075646541715
8.0,0.908780531616,0.031638832867,-0.012643455603,0.010413629682,0.038423349606,0.6742920245977242
9.0,0.98964699421,0.037535308747,-0.015100869838,0.011339358301,0.044646060631,0.734489762853986
10.0,1.070357180792,0.043905998974,-0.018057431579,0.012333068526,0.051431579569,0.7945207853180238
11.0,1.150211497707,0.050743771578,-0.02064861081,0.013391723806,0.058634011842,0.8543317429363259
12.0,1.229590421313,0.058041357093,-0.0234178276,0.014512141622,0.066324653523,0.9139026298138252
13.0,1.311329488298,0.065790675975,-0.030741049385,0.01569106821,0.075279019414,0.973226777318833
14.0,1.390177755103,0.073986606384,-0.034643195502,0.016925348682,0.084129959257,1.0322841795562823
15.0,1.467949932591,0.082631420236,-0.038074559294,0.018212289087,0.093287984377,1.0914949603225776
16.0,1.545269798361,0.091736045802,-0.041876843347,0.019549772496,0.102883133545,1.1509324745662977
17.0,1.622124377747,0.101299363012,-0.046077821158,0.020934267925,0.112981108041,1.2102766279663724
18.0,1.698291963359,0.111222546691,-0.051104992672,0.022348507073,0.123615780791,1.267880268495628
19.0,1.774024377069,0.121575552105,-0.056300628193,0.023804943328,0.134719988108,1.3254572344981275
20.0,1.848503675484,0.132342969556,-0.060987718298,0.025293657166,0.146021654464,1.3826740943894231
