airfoil,m_crit,m_dd,margin_m_dd_minus_m_n,thickness_to_chord,cl_cruise,kappa_a
lockheed_c5a_bl758,0.5400000000000003,0.7009446064491621,-0.002362480182944604,0.11038958382592393,0.5866580972491394,0.87
NACA_25112,0.5500000000000003,0.6912671422237903,-0.01203994440831646,0.12006704805129573,0.5866580972491394,0.87
NACA_64212,0.5250000000000001,0.691545476722039,-0.011761609910067694,0.11978871355304703,0.5866580972491394,0.87
NASA_SC(2)-0712,0.5550000000000002,0.771434190275086,0.06812710364297925,0.1199,0.5866580972491394,0.95
