Criteria / Options,Weight,NACA_25112,NACA_64212,NASA_SC(2)-0712,lockheed_c5a_bl758
Mach Critical,0.1,0.09909909909909913,0.0945945945945946,0.1,0.09729729729729732
Cl/Cd cruise,0.45,0.43312116399428857,0.45,0.35965640962103806,0.41463712658997076
Cl max landing,0.15,0.12104415177643446,0.11978614774367143,0.15,0.12325262901341592
Stall Angle - Angle in Cruise,0.15,0.11930322688297632,0.12930277319737166,0.15,0.12671696973810256
Zero Angle Cl,0.05,0.014549553918606168,0.017075770870595964,0.05,0.018521493081124253
Pitching Moment,0.1,0.1,0.0033049316014449256,0.0011353131709300511,0.002910276561311573
Total score,1.0,0.8871171956714046,0.8140642180076786,0.8107917227919682,0.7833357922812224
